id,keys,game
2305180001,"[[], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [2], [2], [], [], [], [3], [3], [], [], [], [], [], [], [], [], [], [], [], []]",celest
2305180007,"[[2], [], [], [], [], [3], [3], [], [], [], [], [0], [0], [0], [0], [0, 4], [0, 4], [0, 4], [0, 4, 5], [0, 4, 5], [0, 4], [0, 4], [0, 4], [0, 4], [0, 4], [0, 4], [0, 4], [0, 4], [], [], [], [], [], [], [3], [3, 4], [3, 4], [3], [], [], [], [], [3], [3], [3]]",celest
2305180012,"[[], [3], [3], [4, 3], [4, 3], [4, 3], [], [], [], [3], [3], [3], [3], [], [], [], [], [3], [4, 3], [4, 3], [0, 4, 3, 5], [0, 4, 3, 5], [0, 4, 3, 5], [0, 4, 3, 5], [0, 4, 3, 5], [0, 4, 3, 5], [0, 4, 3], [0, 4, 3], [0, 4, 3], [4, 3], [], [], [], [], [], [3], [3], [3], [4, 3], [4, 3], [4, 3], [4, 3], [4, 3], [2], [2]]",celest
2305180018,"[[0, 4, 2], [0, 2], [], [], [], [], [], [], [], [3], [3], [], [2], [2], [2], [0, 2], [0], [3], [3], [], [4], [], [], [], [], [], [3], [], [0], [], [], [], [], [], [0, 4], [0, 4], [0, 4], [0, 2, 4], [0, 2, 4], [0, 2], [0, 2], [0, 2, 4], [0, 2, 4], [0, 3, 2, 4], [0, 3, 4]]",celest
2305180023,"[[0, 5, 3, 4], [0, 5, 3, 4], [0, 5, 3, 4], [0, 5, 3, 4], [0, 5, 3, 4], [0, 4], [0, 4], [0, 4], [0], [], [], [], [], [], [], [], [3], [3], [4, 3], [4, 3], [4, 3], [], [], [], [], [], [], [], [3], [3], [], [3], [4, 3], [4, 3], [4, 3], [3], [3], [], [], [], [], [4], [3, 4], [3, 4], [3, 4]]",celest
2305180028,"[[4], [4], [2, 4], [0, 2, 4], [0, 2, 4], [0, 5, 2, 4], [0, 5, 2, 4], [0, 5, 2, 4], [0, 3, 2, 4], [0, 3, 2, 4], [0, 3, 2, 4], [0, 3, 2, 4], [0, 3, 2, 4], [0, 3, 2, 4], [0, 3, 2, 4], [3, 2, 4], [2, 4], [2, 4], [2, 4], [2, 4], [3], [3], [3], [3], [3], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [3], [3], [4, 3]]",celest
2305180034,"[[3], [], [], [], [], [4], [3, 4], [3, 4], [3, 4], [3, 4], [3], [3], [3], [], [3], [3], [4, 3], [4, 3], [0, 5, 4, 3], [0, 5, 4, 3], [0, 5, 4, 3], [0, 5, 4, 3], [0, 5, 4, 3], [0, 4, 3], [], [], [], [], [], [], [], [3], [3], [3], [3], [3], [3], [3], [3], [3], [3], [3], [], [], []]",celest
2305180039,"[[4], [3, 4], [3, 4], [3, 4], [3, 4], [3], [], [], [], [], [4, 2], [4, 2], [4, 2], [4, 2], [2], [], [], [], [], [], [], [], [2, 4], [2, 4], [0, 2, 4], [0, 2, 4], [0, 2, 4], [0, 3, 2, 4, 5], [0, 3, 2, 4, 5], [0, 3, 4, 5], [0, 3, 4, 5], [0, 3, 4], [0, 3, 4], [4], [], [2], [2], [], [], [], [], [4, 2], [4, 2], [0, 4, 2], [0, 4, 2]]",celest
2305180045,"[[4], [], [], [], [], [], [], [], [], [3], [4, 3], [4, 3], [4, 3], [4, 3], [4, 3], [3], [3], [4, 3], [4, 3], [4, 3], [4, 3], [0, 4, 3], [0, 5, 4, 3], [0, 5, 4, 3], [0, 5, 4, 3], [0, 5, 4, 3], [0, 5, 4, 3], [0, 5, 4, 3], [0, 4, 3], [0, 4, 3], [0, 4, 3], [4, 3], [3], [3], [], [2], [2], [4, 2], [2], [2], [2], [], [4, 3], [4, 3], [4, 3]]",celest
2305180050,"[[3], [3], [3], [3], [4, 3], [4, 3], [4, 3], [4, 3], [4, 3], [3], [3], [4, 3], [4, 3], [4, 3], [4, 3], [4, 3], [3], [0, 4, 3], [0, 4, 3], [0, 5, 4, 3], [0, 5, 4, 3], [0, 5, 4, 3], [0, 5, 4, 3], [0, 5, 4, 3], [0, 5, 4, 3], [0, 5, 4, 3], [0, 4, 3], [0, 4, 3], [4], [4, 3], [], [2], [2], [2], [2], [2], [2], [], [4, 3], [4, 3], [4, 3], [4, 3], [4, 3], [4, 3], [4, 3]]",celest
2305180055,"[[0, 5, 4], [0, 5, 4], [0, 2, 5, 4], [0, 2, 5, 4], [0, 2, 4], [0, 2, 4], [0, 2, 4], [4], [4], [], [], [], [3], [3], [3], [], [4], [0, 4], [0, 4], [0, 4], [0, 4], [0, 5, 2, 4], [0, 5, 2, 4], [0, 5, 2, 4], [0, 5, 2, 4], [0, 5, 2, 4], [0, 5, 2, 4], [0, 5, 2, 4], [0, 5, 2, 4], [0, 5, 2, 4], [0, 2, 4], [], [], [], [], [0, 4], [0, 4], [0, 2, 4], [2], [2], [4], [3, 4], [3, 4], [3, 4], [3, 4]]",celest
2305180001,"[[3, 4], [3], [2], [2], [2], [2], [], [], [], [3], [4, 3], [4, 3], [4, 3], [4, 3], [3], [3], [0, 4, 3], [0, 4, 3], [0, 4, 3], [0, 4], [0, 4], [0, 4], [], [], [], [4, 2], [4, 2], [3, 4, 2], [0, 3, 4, 2], [0, 5, 4, 2], [0, 5, 4, 2], [0, 5, 4, 2], [0, 5, 4, 2], [0, 5, 4, 2], [0, 5, 4, 2], [0, 4, 2], [0, 4, 2], [0, 4, 2], [0, 2], [], [], [], [], [2, 4], [2, 4]]",celest
2305180006,"[[0, 5, 4, 2], [0, 5, 4, 2], [0, 4, 2], [0, 2], [2], [], [], [], [], [], [], [], [], [], [], [], [], [3], [3], [4, 3], [4, 3], [4, 3], [4, 3], [4, 3], [3], [4, 3], [0, 4, 3], [0, 4, 3], [0, 4, 3], [0, 4, 3], [0, 5, 4, 3], [0, 5, 4, 3], [0, 5, 4, 3], [0, 5, 4, 3], [0, 5, 4, 3], [0, 5, 4, 3], [0, 5, 4, 3], [0, 4, 3], [0, 4, 3], [4, 3], [4], [4], [], [2], [2]]",celest
2305180012,"[[], [], [], [2], [0, 4, 2], [0, 4, 2], [0, 4, 2], [0, 4, 2], [0, 2], [0, 2], [0, 2], [0, 2], [3], [3], [3], [3], [4, 3], [4, 3], [4, 3], [4, 3], [3], [], [], [3], [3], [4], [0, 4, 2], [0, 5, 4, 2], [0, 5, 4, 2], [0, 5, 4, 2], [0, 5, 4, 2], [0, 5, 4, 2], [0, 5, 4, 2], [0, 5, 4, 2], [0, 5, 4, 2], [0, 4, 2], [0, 3, 2], [0, 3, 4, 2], [0, 3, 4, 2], [0, 4, 2], [0, 4, 2], [0, 3, 4, 2], [0, 3, 2], [0, 3, 2], [0, 3, 2]]",celest
2305180017,"[[3], [3], [3], [3], [0, 5, 4, 3], [0, 5, 4, 3], [0, 5, 4, 3], [0, 5, 4, 3], [0, 2, 5, 4, 3], [0, 2, 5, 4, 3], [0, 2, 5, 4], [0, 2, 5, 4], [0, 2], [0, 2], [0, 2, 4], [0, 2, 4], [0, 2, 4], [0, 2, 4], [0, 2, 4], [0, 2, 4], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [3], [4, 3], [4, 3], [4, 3], [4, 3], [4, 3], [3], [0, 3], [0, 4, 3], [0, 4, 3], [0, 4, 3]]",celest
2305180023,"[[3], [3], [], [], [], [], [], [3], [4, 3], [], [], [], [], [], [2], [0, 2], [], [], [], [3], [3], [], [], [], [], [], [], [4], [0, 2, 4], [0, 2, 4], [0, 2, 4], [0, 5, 2, 4], [0, 5, 2, 4], [0, 5, 2, 4], [0, 2, 4], [0, 2, 4], [0, 2, 4], [4], [3], [3], [3], [4, 3], [4, 3], [4, 3], [4, 3]]",celest
2305180028,"[[], [], [], [], [3], [3], [3], [3], [3], [4, 3], [4, 3], [3], [3], [3], [4, 3], [0, 4, 3], [0, 4, 3], [0, 4, 3], [0, 4, 3], [0, 4, 3], [0, 4, 3], [0, 5, 4, 3], [0, 5, 4, 3], [0, 5, 4, 3], [0, 4, 3], [0, 4, 3], [0, 4, 3], [0, 4, 3], [0, 4, 3], [4, 3], [], [], [], [], [2], [2], [2], [2], [2], [4, 2], [4, 2], [4], [4, 3], [4, 3], [3]]",celest
2305180033,"[[0, 4], [0, 4], [0, 2, 4], [], [], [], [], [], [], [3], [3], [3], [], [], [], [4], [4], [4], [0, 4], [0, 5, 4], [0, 5, 4], [0, 5, 4], [0, 5, 4], [0, 5, 4], [0, 5, 4], [0, 5, 4], [0, 2, 5, 4], [0, 2, 5, 4], [0, 2, 4], [0, 2], [0, 2], [], [], [], [], [3], [3], [3], [], [4], [4], [], [], [], []]",celest
2305180039,"[[0, 4, 3], [0, 5, 4, 3], [2, 5, 4], [2], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [3], [3], [3], [3], [3], [4, 3], [4, 3], [4, 3], [3], [3], [4, 3], [4, 3], [4, 3], [4, 3], [5, 4, 3], [0, 5, 4, 3], [0, 5, 4, 3], [0, 5, 4, 3], [0, 5, 4, 3], [0, 5, 4, 3], [0, 5, 4, 3], [0, 5, 4, 3]]",celest
2305180044,"[[0, 5, 3, 4], [0, 5, 3, 4], [0, 5, 3, 4], [0, 5, 3, 4], [3, 4], [], [], [2], [2], [2], [2], [2], [2], [], [4], [3, 4], [3, 4], [3, 4], [3, 4], [3, 4], [3], [3], [3], [3], [3], [], [], [], [], [], [], [], [3], [4, 3], [], [], [], [], [], [], [], [], [], [], []]",celest
2305180049,"[[0, 4, 3], [0, 4, 3], [3], [], [], [], [], [4, 2], [4, 2], [0, 4, 2], [0, 4, 2], [0, 5, 4, 2], [0, 5, 4, 2], [0, 5, 4, 2], [0, 5, 4, 2], [0, 5, 4, 2], [], [3], [4, 3], [4, 3], [4, 3], [4, 3], [5, 4, 3], [5, 4, 3], [5, 4, 3], [4, 3], [4, 3], [4], [4, 2], [4, 2], [2], [2], [], [], [], [], [], [], [], [], [], [], [], [], []]",celest
2305180055,"[[], [], [2], [2], [2], [2], [2], [4, 2], [4], [4, 3], [4, 3], [4, 3], [4, 3], [3], [3], [], [], [], [3], [3], [4, 3], [4], [0, 4, 5], [0, 4, 5], [0, 4, 5], [0, 4, 5], [0, 4, 5], [0, 2, 4, 5], [0, 2, 4, 5], [0, 2, 4], [0, 2, 4], [0, 2, 4], [0, 2, 4], [0, 2, 4], [], [], [], [], [], [], [], [], [0], [], [0]]",celest
2305180000,"[[3], [], [], [], [4], [0, 5, 4], [0, 5, 4], [0, 5, 4], [0, 5, 4], [0, 5, 4], [0, 5, 4], [0, 5, 4], [0, 5, 4], [0, 2, 5, 4], [0, 2, 4], [], [], [], [], [], [], [3], [], [], [], [4], [0, 4], [0, 4], [0, 4], [0, 5, 4], [0, 5, 4], [0, 5, 4], [0, 5, 4], [0, 5, 4], [0, 5, 4], [0, 5, 4], [0, 5, 4], [0, 2, 5, 4], [2, 4], [2, 4], [2], [], [], [], []]",celest
2305180006,"[[], [], [], [], [2], [2], [], [], [], [2], [2], [2], [4, 2], [4, 2], [4, 2], [2], [2], [2], [4, 2], [4, 2], [4, 2], [], [3], [3], [3], [0, 4, 3], [0, 4, 3], [0, 4, 3], [0, 4], [0, 4], [0, 4, 2], [0, 4, 2], [0, 4, 2], [0, 4, 2], [0, 4, 2], [0, 5, 4, 2], [0, 5, 4, 2], [0, 5, 4, 2], [0, 5, 4, 2], [0, 5, 4, 2], [0, 5, 4, 2], [0, 5, 4, 2], [0, 4, 2], [0, 2], [0, 2]]",celest
2305180011,"[[0, 4, 2], [0, 4, 2], [0, 5, 4, 2], [0, 4, 2], [4], [], [], [], [], [3], [3], [3], [], [], [], [], [], [], [], [4, 3], [4, 3], [4, 3], [4, 3], [4, 3], [3], [0, 4, 3], [0, 5, 4, 3], [0, 5, 4, 3], [0, 5, 4, 3], [0, 5, 4, 3], [0, 4, 3], [0, 4, 3], [0, 4, 3], [0, 4, 3], [0, 4, 3], [0, 4, 3], [0, 4, 3], [4], [4, 2], [2], [2], [2], [2], [2], [4]]",celest
2305180017,"[[], [], [4], [4], [0, 4], [0, 4], [0, 5, 4], [0, 5, 4], [0, 2, 5, 4], [0, 2, 5, 4], [0, 4], [0, 4], [0, 2], [2], [2], [2], [2], [], [], [], [], [], [2], [2], [4], [], [], [], [], [4, 2], [4, 2], [4, 2], [3, 4], [3, 4], [3, 4], [], [2], [4, 2], [4, 2], [4, 2], [4, 2], [4, 2], [4, 2], [0, 5, 4, 2], [0, 5, 4, 2]]",celest
2305180022,"[[0, 5, 4], [0, 4], [0, 4], [], [], [], [], [], [], [], [], [], [3], [3], [4], [4], [], [], [], [3], [3], [], [], [], [], [], [3], [3], [4, 3], [4, 3], [0, 4, 3], [0, 5, 4, 3], [0, 5, 4, 3], [0, 5, 4, 3], [0, 5, 4, 3], [0, 5, 4, 3], [0, 4, 3], [0, 3], [3], [], [], [], [], [], []]",celest
2305180027,"[[], [], [], [], [2], [], [], [4], [2, 4], [2, 4], [2, 4], [0, 2, 4], [0, 5, 2, 4], [0, 5, 2, 4], [0, 5, 2, 4], [0, 5, 2, 4], [0, 5, 2, 4], [0, 2, 4], [0, 2, 4], [0, 3, 2, 4], [0, 3, 2, 4], [2, 4], [2, 4], [2], [], [], [], [], [], [4, 3], [4, 3], [4, 3], [0, 4, 3], [0, 4, 3], [0, 5, 4, 3], [0, 5, 4, 3], [0, 5, 4, 3], [0, 5, 4, 3], [0, 4, 3], [0, 4, 3], [0, 4, 3], [0, 4, 3], [0, 5, 4, 3], [0, 5, 4, 3], [0, 5, 4, 3]]",celest
2305180033,"[[2, 4], [2, 4], [2], [2], [2], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [0, 4], [0, 4], [], [], [], [], [], [], [], [], [], [4], [4], [4], [3, 4], [3, 4], [3], [3], [3], [3], [], [], [], [], [], []]",celest
2305180038,"[[], [], [], [], [], [], [2], [], [], [], [], [], [], [], [2, 4], [2, 4], [0, 5, 2, 4], [0, 5, 2, 4], [0, 5, 2, 4], [2, 4], [4], [], [], [], [3], [3], [], [], [], [2], [2], [], [], [], [], [], [3], [4, 3], [4, 3], [4, 3], [0, 4, 3], [0, 5, 4, 3], [0, 5, 4, 3], [0, 5, 4, 3], [0, 5, 4, 3]]",celest
2305180044,"[[0, 2, 4], [0, 2, 4], [2, 4], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [0], [0, 4], [0, 4], [0, 4], [], [], [], [], [], [], [4], [4], [4], [3], [3], [], [3], [], [], []]",celest
2305180049,"[[], [], [], [], [], [], [], [], [4], [3, 4], [3, 4], [], [], [], [], [], [], [], [3, 4], [3, 4], [3, 4], [3, 4], [3, 4], [3, 4], [], [], [], [], [], [], [], [], [4, 3], [4, 3], [4, 3], [4, 3], [4, 3], [4, 3], [4, 3], [4, 3], [4, 3], [4, 3], [], [], []]",celest
2305180054,"[[], [2], [], [], [], [], [], [], [], [], [], [2], [], [], [], [], [], [], [4], [2, 4], [2, 4], [2, 4], [2, 4], [2], [], [], [], [], [], [], [], [], [], [4], [2, 4], [0, 5, 2, 4], [0, 5, 2, 4], [0, 5, 2, 4], [0, 5, 2, 4], [0, 2, 4], [2], [], [], [], []]",celest
2305180000,"[[], [0, 4], [0, 2, 4], [0, 5, 2, 4], [0, 5, 2, 4], [0, 2, 4], [2], [], [], [], [], [], [], [], [], [], [], [], [], [], [4, 3], [4, 3], [4, 3], [4, 3], [4, 3], [4, 3], [4, 3], [0, 4, 3], [0, 5, 4, 3], [0, 5, 4, 3], [0, 5, 4, 3], [0, 5, 4, 3], [0, 5, 4, 3], [0, 5, 4, 3], [0, 4, 3], [], [], [2], [], [], [], [], [], [], []]",celest
2305180005,"[[], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [4], [4], [], [], [], [], [], [], [4], [3, 4], [3, 4], [], [], [], [], [], [], [], [], [4], [0, 4], [0, 4], [0, 4], [], [], [], [], []]",celest
2305180011,"[[], [], [], [], [], [4], [4], [4], [4], [4], [], [], [], [], [], [], [], [], [], [4], [2, 5, 4], [0, 2, 5, 4], [0, 2, 5, 4], [0, 2, 5, 4], [0, 2, 5, 4], [0, 2, 5, 4], [0, 2, 5, 4], [0, 2, 5, 4], [0, 2], [], [], [], [3], [3], [], [], [], [], [], [4], [0, 4], [0, 4], [4], [], [3]]",celest
2305180016,"[[0], [], [], [], [], [], [], [], [2], [2], [2], [4], [4], [4], [], [], [], [], [2], [2], [], [], [], [], [], [], [4], [4], [4], [3, 4], [3, 4], [3], [], [], [], [], [], [4], [3, 4], [3, 4], [3, 4], [3, 4], [3, 4], [3, 4], [3, 4]]",celest
2305180021,"[[], [], [], [], [4], [0, 4], [0, 4], [0, 4], [], [], [], [], [], [], [], [], [4], [4], [0, 4], [0], [3], [], [], [], [], [], [], [], [], [], [4, 3], [], [], [], [], [], [], [], [], [], [], [], [], [2], [2]]",celest
2305180027,"[[], [4, 3], [4, 3], [0, 4, 3], [0, 4, 3], [0, 4, 3], [3], [3], [3], [], [], [], [], [2, 4], [2, 4], [0, 5, 2, 4], [0, 5, 2, 4], [0, 5, 2, 4], [0, 5, 2, 4], [0, 5, 2, 4], [0, 5, 2, 4], [2], [], [], [], [], [2], [2], [2], [], [], [], [], [], [], [], [3], [4, 3], [4, 3], [4, 3], [4, 3], [4, 3], [0, 4, 3], [0, 5, 4, 3], [0, 5, 4, 3]]",celest
2305180032,"[[2], [2], [], [], [], [], [], [], [], [], [3], [3], [4, 3], [4, 3], [4, 3], [4, 3], [4, 3], [4, 3], [3], [3], [3], [], [], [], [], [], [], [], [], [], [], [3], [4, 3], [4, 3], [4, 3], [4, 3], [4, 3], [3], [], [], [], [], [], [], []]",celest
2305180038,"[[3], [], [], [2], [2], [2], [4, 2], [0, 5, 4, 2], [0, 5, 4, 2], [0, 5, 4, 2], [0, 5, 4, 2], [0, 5, 4, 2], [0, 5, 4, 2], [0, 5, 4, 2], [0, 4, 2], [0, 4, 2], [0, 4, 2], [0, 4, 2], [0, 4, 2], [2], [], [], [], [], [], [], [], [], [], [3], [4, 3], [4, 3], [4, 3], [4, 3], [4, 3], [3], [], [], [3], [3], [4, 3], [4, 3], [4, 3], [4, 3], [4, 3]]",celest
2305180043,"[[0, 4, 2], [0, 4, 2], [0, 4, 2], [0, 4, 2], [0, 4, 2], [4, 2], [2], [4, 2], [4, 2], [4, 2], [4, 2], [4, 2], [2], [2], [2], [4, 2], [4, 2], [4, 2], [4, 2], [2], [2], [0, 4, 2], [0, 4, 2], [0, 4, 2], [0, 4, 2], [0, 2], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], []]",celest
2305180048,"[[], [], [3], [3], [3], [3], [4, 3], [4, 3], [4, 3], [4, 3], [4, 3], [3], [], [3], [3], [4, 3], [4, 3], [4, 3], [4, 3], [4, 3], [4, 3], [3], [3], [], [], [], [], [2], [4, 2], [4, 2], [0, 5, 4, 2], [0, 5, 4, 2], [0, 5, 4, 2], [0, 5, 4, 2], [0, 5, 4, 2], [0, 5, 4, 2], [0, 4, 2], [0, 4, 2], [0, 2], [0, 2], [0, 2], [0, 4, 2], [0, 4, 2], [0, 4, 2], [0, 5, 4, 2]]",celest
2305180054,"[[3], [3], [3], [4, 3], [4, 3], [4, 3], [4, 3], [3], [3], [3], [3], [3], [2, 3], [2, 4], [2, 4], [2, 4], [2, 4], [2, 4], [2, 4], [0, 5, 2, 4], [0, 5, 2, 4], [0, 5, 2, 4], [0, 5, 2, 4], [0, 5, 2, 4], [0, 2, 4], [0, 2, 4], [0, 2, 4], [], [], [2], [2], [2], [2], [2], [], [], [], [], [2, 4], [2, 4], [3, 4], [3, 4], [3], [3], [3]]",celest
2305180059,"[[3], [3], [4, 3], [4, 3], [4, 3], [4, 3], [4, 3], [4, 3], [4, 3], [4, 3], [4, 3], [3], [3], [0, 4, 3], [0, 4, 3], [0, 5, 4, 3], [0, 5, 4, 3], [0, 5, 4, 3], [0, 5, 4, 3], [0, 5, 4, 3], [0, 5, 4, 3], [0, 5, 4, 3], [0, 4, 3], [0, 4, 3], [0, 4, 3], [0, 2, 4, 3], [0, 2, 4, 3], [0, 2, 4], [2, 4], [2, 4], [2, 4], [2, 4], [2, 4], [2], [2, 4], [2, 4], [2], [2], [], [], [], [], [], [2], [2]]",celest
2305180005,"[[3], [], [2], [2], [2], [2], [2], [2], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [3], [3], [4, 3], [4, 3], [4, 3], [4, 3], [4, 3], [4, 3], [3], [3], [3], [3], [4, 3], [4, 3], [4, 3], [4, 3], [3], [3], [3], [3], [3], []]",celest
2305180010,"[[0, 2, 4], [0, 2], [2], [], [], [], [], [], [], [], [], [], [], [3], [3], [3], [4, 3], [4, 3], [4, 3], [4, 3], [4, 3], [4, 3], [3], [3], [3], [3], [3], [4, 3], [4, 3], [4, 3], [3], [3], [3], [3], [3], [4, 3], [4, 3], [4, 3], [3], [3], [4, 3], [0, 4, 3], [4, 3], [2, 4], [2, 4]]",celest
2305180015,"[[2], [2], [2], [2], [2, 4], [2, 4], [2, 4], [2, 4], [2], [2], [2, 4], [2, 4], [2, 4], [2, 4], [2, 4], [2, 4], [2], [2], [2], [3, 4], [3, 4], [3, 4], [3, 4], [3, 4], [3, 4], [3, 4], [3, 4], [3], [], [2], [4, 2], [4, 2], [4, 2], [4, 2], [0, 4, 2], [0, 5, 4, 2], [0, 5, 4, 2], [0, 5, 4, 2], [0, 5, 4, 2], [0, 5, 4, 2], [0, 5, 4, 2], [0, 5, 4, 2], [0, 4, 2], [0, 2], [0, 4, 2]]",celest
